sample_id,method,user_id,period_start,period_type,diversity,temporal_coverage,context_precision,faithfulness_summary,faithfulness_report,answer_relevancy_summary,answer_relevancy_report,summary_tokens_used,summary_generation_time,report_tokens_used,report_generation_time,generated_text
18_week_2025-03-10,baseline_rag,18,2025-03-10,week,,,,,,,3,,,3769,8.864058017730713,"{""title"":""Weekly Report 10.03 – 16.03"",""summary"":""This week you turned your half-marathon goal from an idea into a real, structured commitment by starting your training plan and showing up consistently. You focused on staying steady—running at an easy pace, holding your rhythm, and practicing “no stopping” even when your legs felt heavy. Overall, your entries show growing confidence fueled by discipline and small, tangible improvements."",""goals"":[{""goal_id"":39,""name"":""Півмарафон без зупинок"",""summary"":""You began your half-marathon training plan and completed multiple runs, including an easy 3 km start and a longer 4 km where you noticed you could hold an even rhythm for longer. A clear win this week was choosing consistency over mood: you went out even on low-motivation days and treated the short run as a way to protect your routine. You also trained mental toughness by keeping your pace and not stopping after work, even when you felt the urge to switch to walking.""}],""tone"":{""word"":""Steady"",""scale"":4,""description"":""Your week reads like steady, practical forward motion: you followed the plan, kept your pace, and prioritized regularity. Even when energy was lower, you anchored yourself with “just do the run” discipline and came away feeling more grounded.""},""what_worked"":[{""title"":""Starting a structured plan"",""description"":""Beginning a clear half-marathon plan made the goal feel real and gave your training a concrete direction.""},{""title"":""Easy pace with rhythm focus"",""description"":""Keeping a calm, even pace helped you notice progress in holding a steady rhythm (especially on the 4 km run).""},{""title"":""After-work follow-through"",""description"":""Going out after work—even with heavy legs—reinforced your ability to keep moving without stopping when it got uncomfortable.""},{""title"":""Consistency over mood"",""description"":""Choosing to do a short run even when you felt lazy strengthened your routine and kept your momentum anchored in regularity.""}]}"
18_week_2025-03-17,baseline_rag,18,2025-03-17,week,,,,,,,2,,,3790,9.069651126861572,"{""title"":""Weekly Report 17.03 – 23.03"",""summary"":""This week you turned your half-marathon goal into something concrete by starting a structured training plan and showing up consistently. Your runs weren’t just about distance—you practiced steady pacing and proved to yourself you can keep moving even when it feels tempting to slow to a walk. Overall, the week reads as a confident shift from “idea” to “real commitment.”"",""goals"":[{""goal_id"":39,""name"":""Півмарафон без зупинок"",""summary"":""You began your half-marathon preparation plan and got in multiple steady runs, including a 3 km easy run and a 4 km evening run where you noticed you could hold an even rhythm for longer. A standout win was staying at your pace without stopping even when your legs felt heavy after work and you wanted to switch to walking. You’re also building a helpful mindset: you recognized that regularity matters more to you than having the “perfect” mood, and that discipline itself feels rewarding after you finish.""}],""tone"":{""word"":""Focused"",""scale"":5,""description"":""You had a clear direction this week—starting the plan—and your entries show intentional effort to hold pace and avoid stopping. Even when your body felt heavy, you stayed with the process and came away feeling disciplined and energized by the goal becoming real.""},""what_worked"":[{""title"":""Starting a structured plan"",""description"":""Beginning a clear half-marathon plan made the goal feel real and gave you momentum, which showed up as “pleasant excitement” and follow-through.""},{""title"":""Easy-paced runs to build consistency"",""description"":""Keeping a calm, steady pace helped you complete runs without stopping and reinforced that regularity matters more than ideal motivation.""},{""title"":""After-work training commitment"",""description"":""Going out after work—even with heavy legs—strengthened your confidence that you can hold your rhythm and not give in to the urge to walk.""},{""title"":""Noticing small performance signals"",""description"":""Paying attention to improvements like holding an even rhythm longer gave you immediate proof of progress and boosted your sense of discipline.""}]}"
18_week_2025-03-24,baseline_rag,18,2025-03-24,week,,,,,,,4,,,3724,8.246659755706787,"{""title"":""Weekly Report 24.03 – 30.03"",""summary"":""This week you turned your half-marathon goal from an idea into an actual training plan, and you showed up with consistency. Your runs weren’t just about distance—you practiced staying steady even when your legs felt heavy, and you started noticing early signs of endurance building."",""goals"":[{""goal_id"":39,""name"":""Півмарафон без зупинок"",""summary"":""You began your half-marathon training plan and completed multiple steady runs, including a calm 3 km start and an evening 4 km where you noticed you could hold an even rhythm for longer. A standout win was keeping your pace and not stopping even when you felt like switching to walking after work. You also reframed success as regularity over “perfect mood,” which strengthens the foundation for running without stops.""}],""tone"":{""word"":""Steady"",""scale"":4,""description"":""You followed through on your plan and kept moving forward across different energy levels. The week shows growing discipline and an emerging ability to maintain an even rhythm.""},""what_worked"":[{""title"":""Starting with an easy pace"",""description"":""Opening with calm, manageable runs helped you build momentum and made the goal feel real from the first week.""},{""title"":""Holding a steady rhythm"",""description"":""Focusing on an even pace (especially on your 4 km run) helped you run longer without breaking your flow.""},{""title"":""After-work follow-through"",""description"":""Going out to run after work—even with heavy legs—reinforced your ability to keep going without stopping when it gets uncomfortable.""},{""title"":""Choosing regularity over perfect motivation"",""description"":""Prioritizing consistency, even on low-motivation days, supported the habit you’ll need for a no-stop half marathon.""}]}"
18_week_2025-03-31,baseline_rag,18,2025-03-31,week,,,,,,,5,,,9494,12.200719118118286,"{""title"":""Weekly Report 31.03 – 06.04"",""summary"":""This week you leaned into building momentum through simple, repeatable actions in both running and work English. The overall theme is consistency with self-trust: you showed up even when energy or mood wasn’t ideal, and you still found moments of excitement and pride from doing the work."",""goals"":[{""goal_id"":39,""name"":""Півмарафон без зупинок"",""summary"":""You started your half-marathon prep plan and completed multiple runs, including an easy 3 km, a 4 km run, and an interval session (faster/slower), which added variety and challenge. A clear win is that you kept running without stopping even when your legs felt heavy or you wanted to switch to walking—this is directly aligned with your goal. You also began noticing early fitness signals (more even breathing, holding a steady rhythm longer), which reinforced your motivation and made the process feel more personal and sustainable.""},{""goal_id"":40,""name"":""Англійська для роботи до рівня B2"",""summary"":""You launched a practical work-English plan by creating tools you can use immediately: mini-dictionaries, meeting phrase lists, email templates, and scripts for small talk and clarification. You trained across skills—writing (two short emails without a translator), listening (a short business podcast), and speaking (repeating phrases out loud and recording yourself), which built both competence and confidence. Small standout wins were adjusting your small-talk script to sound more natural and noticing that simply starting (even with a short review) made the work feel more doable.""}],""tone"":{""word"":""Steady"",""scale"":4,""description"":""Your entries show consistent forward motion driven by disciplined, realistic actions—showing up after work, choosing manageable sessions, and continuing even when it felt challenging. You’re building stability through routines and noticing tangible feedback (breathing, rhythm, clearer work phrases) that helps keep motivation grounded.""},""what_worked"":[{""title"":""Keeping it going even on low-energy days"",""description"":""Choosing to do a shorter/easier session (a calm run or a quick vocabulary review) helped you protect consistency without needing the “perfect” mood.""},{""title"":""Practical, job-linked English building blocks"",""description"":""Collecting phrases for meetings and ready-made email templates made English feel immediately usable, like when you drafted emails and later checked mistakes instead of relying on a translator.""},{""title"":""Speaking out loud + self-recording"",""description"":""Repeating phrases and recording yourself lowered the fear barrier over time and made pronunciation practice feel more actionable.""},{""title"":""Variety in training (steady runs + intervals)"",""description"":""Mixing easy runs with interval work kept training purposeful and helped you connect progress not only to stamina but also to mental resilience.""}]}"
18_week_2025-04-07,baseline_rag,18,2025-04-07,week,,,,,,,4,,,9500,11.568907022476196,"{""title"":""Weekly Report 07.04 – 13.04"",""summary"":""This week you actively built practical, work-ready English while also laying down the first steady layer of your half-marathon training. Across both goals, you leaned on small, repeatable actions (lists, templates, short practice blocks, easy runs) that made progress feel real and manageable."",""goals"":[{""goal_id"":40,""name"":""Англійська для роботи до рівня B2"",""summary"":""You focused on highly applicable workplace English: you created a mini-dictionary from chat vocabulary, built meeting and email phrase banks (including follow-ups, clarification, polite requests, and soft disagreement), and repeatedly practiced speaking out loud—sometimes even recording yourself to reduce pronunciation anxiety. A clear win was producing real outputs: you wrote short work emails without a translator, refined scripts when they sounded too formal, and even did a mini “meeting rehearsal” to notice where you lose your thread or speak too long. You also began turning feedback into direction by spotting recurring grammar issues (articles/prepositions) and collecting phrases from colleagues’ real meeting language to sound more diplomatic.""},{""goal_id"":39,""name"":""Півмарафон без зупинок"",""summary"":""You launched your half-marathon plan with multiple consistent runs, starting with 3 km easy and building up to 4 km, while prioritizing staying in motion even when your legs felt heavy. You also introduced variety through interval work (faster/slower segments), which strengthened both fitness and mental toughness. Small but meaningful signals of progress showed up: you noticed a steadier rhythm on longer efforts and more even breathing on familiar distances, and you started to connect running with a sense of discipline and personal time.""}],""tone"":{""word"":""Steady"",""scale"":4,""description"":""Your week reads as consistent and grounded: you kept moving forward with practical reps and small deliverables, even when energy, confidence, or concentration fluctuated. The emphasis on routines (short practice blocks, repeatable running sessions) supported momentum and made progress feel tangible.""},""what_worked"":[{""title"":""Work-specific language blocks"",""description"":""Building phrase lists and templates for meetings/emails (clarifying, follow-ups, polite tone) made English immediately usable and reduced hesitation in real situations.""},{""title"":""Speaking out loud + recording"",""description"":""Repeating phrases aloud and recording yourself helped you move through pronunciation shyness and made speaking practice feel more doable over time.""},{""title"":""Real-output practice (emails & rehearsal)"",""description"":""Writing emails without a translator and doing a mini meeting run-through turned learning into concrete performance, revealing exactly what to refine.""},{""title"":""Easy, non-heroic runs for consistency"",""description"":""Choosing manageable runs after work—even at a slower pace—helped you protect regularity and build a reliable training rhythm.""}]}"
18_week_2025-04-14,baseline_rag,18,2025-04-14,week,,,,,,,5,,,9546,12.553171396255493,"{""title"":""Weekly Report 14.04 – 20.04"",""summary"":""This week you leaned into building momentum through small, repeatable actions in both running and work English. Across both goals, you kept choosing “doable” efforts (steady runs, short but consistent English blocks) and that created a clear sense of a real plan taking shape rather than just an idea. Overall, your entries read like growing trust in consistency—showing up, adjusting, and noticing early signs of progress."",""goals"":[{""goal_id"":39,""name"":""Півмарафон без зупинок"",""summary"":""You started your half-marathon preparation plan and put in multiple runs, including a calm 3 km, a 4 km where you noticed you could hold an even rhythm longer, and an interval session (faster/slower) that challenged both endurance and character. A strong theme was staying running even when it felt tempting to switch to walking—especially after work when your legs felt heavy—turning those moments into quiet wins. You also began noticing concrete progress markers like steadier breathing on familiar distances and a shift toward enjoying the process itself as personal time, not only chasing an outcome.""},{""goal_id"":40,""name"":""Англійська для роботи до рівня B2"",""summary"":""You built practical, job-specific building blocks: a mini-dictionary from work chats, meeting vocabulary (e.g., deadline/align/follow up/clarify), and sets of ready-to-use phrases for clarifying and confirming (e.g., “Could you clarify…?”, “Just to confirm…”). You also practiced in active ways—listening to a short business podcast and repeating out loud, recording yourself to work through pronunciation discomfort, and writing two short work emails without a translator before checking mistakes. Small but meaningful wins stood out in how you turned awareness into action: noticing article confusion without panicking, rewriting small talk to sound simpler and more natural, and recognizing that starting with 15–20 minutes is enough to keep progress real.""}],""tone"":{""word"":""Steady"",""scale"":4,""description"":""You repeatedly chose consistent, realistic actions—running even when energy was low and doing short, practical English practice that fits your work context. The week shows momentum built from follow-through, self-observation, and small adjustments rather than pushing for perfection.""},""what_worked"":[{""title"":""Keeping the effort “doable”"",""description"":""Choosing calm runs and short English sessions (15–20 minutes) helped you keep moving forward while still respecting your energy and workload.""},{""title"":""Training after work anyway"",""description"":""Several runs happened after work despite heavy legs, and staying with the run without stopping strengthened both discipline and confidence.""},{""title"":""Noticing specific progress signals"",""description"":""Tracking things like steadier breathing and the ability to hold an even rhythm made your progress feel tangible and motivating.""},{""title"":""Job-relevant phrase banks and templates"",""description"":""Collecting meeting phrases, email templates, and clarification scripts made English feel immediately usable and reduced hesitation in real work scenarios.""}]}"
18_week_2025-04-21,baseline_rag,18,2025-04-21,week,,,,,,,5,,,9535,12.933890581130981,"{""title"":""Weekly Report 21.04 – 27.04"",""summary"":""This week you moved both goals from “intention” into real, repeatable practice. In running, you started a half-marathon prep plan and began noticing early signs of adaptation (steadier breathing, more stable rhythm). In work English, you built practical building blocks for meetings and emails and started using more active practice (speaking aloud, writing without a translator), which directly reduced panic and boosted confidence."",""goals"":[{""goal_id"":39,""name"":""Півмарафон без зупинок"",""summary"":""You launched your half-marathon preparation plan and put in several runs with a clear focus on staying steady—keeping your pace and not stopping even when your legs felt heavy or motivation dipped. Small wins stood out: holding an even rhythm over longer stretches, noticing smoother breathing on familiar distances, and completing interval work that trained both endurance and mental toughness. You also treated running as personal time and ended the week with a growing sense that you’re building a real base and your body is adapting.""},{""goal_id"":40,""name"":""Англійська для роботи до рівня B2"",""summary"":""You made your English practice highly job-focused: creating mini-dictionaries and targeted word lists (e.g., meeting vocabulary), collecting ready-to-use phrases for clarifying, confirming, and small talk, and building templates for emails like follow-ups. You pushed into active skills by listening to business content and repeating aloud, recording yourself, practicing in the mirror, and writing short work emails without a translator (checking errors afterward). A key win this week was your shift toward confidence-through-structure: using small, realistic daily blocks (around 15–20 minutes) and noticing that practical “micro-phrases” are what most quickly reduce stress in real work situations.""}],""tone"":{""word"":""Focused"",""scale"":5,""description"":""You consistently chose concrete actions that matched your goals: a structured running plan with specific session types, and English practice built around real workplace scenarios (emails, meetings, tone). Even when energy or mood fluctuated, you kept the approach steady and practical, which created visible momentum.""},""what_worked"":[{""title"":""Following a clear training plan"",""description"":""Starting the half-marathon prep plan turned the goal into a concrete routine, helping you run steadily and build a sense of real progress rather than “just an idea.”""},{""title"":""Prioritizing consistency over mood"",""description"":""You reinforced that regularity matters more than the perfect mindset, which helped you still get out for shorter or calmer runs and keep the rhythm.""},{""title"":""Mixing easy runs with intervals"",""description"":""Adding interval sessions challenged you in a controlled way and strengthened both fitness and confidence that you can handle discomfort.""},{""title"":""Using job-specific English blocks (phrases + templates)"",""description"":""Word lists, scripts, and email templates gave you ready-made language for meetings and messages, so you could respond faster and feel less lost in work chats.""}]}"
18_week_2025-04-28,baseline_rag,18,2025-04-28,week,,,,,,,4,,,9507,11.106813907623291,"{""title"":""Weekly Report 28.04 – 04.05"",""summary"":""This week you moved both goals from “intention” into a repeatable routine: training/running even when energy or mood fluctuated, and building practical English tools you can use at work right away. The overall impression is grounded and realistic—less pressure to be perfect, more focus on consistency, self-trust, and small, concrete steps that compound."",""goals"":[{""goal_id"":39,""name"":""Півмарафон без зупинок"",""summary"":""You kicked off a half-marathon prep plan and followed through with multiple types of runs (easy efforts, a 4 km run, intervals, and a longer-distance session) while keeping the emphasis on not stopping. Several wins stand out: you noticed steadier breathing on familiar distances, you were able to hold an even rhythm longer, and you chose “honest, calm execution” on tougher mental days—showing discipline and body-awareness (including adjusting load when you felt knee discomfort).""},{""goal_id"":40,""name"":""Англійська для роботи до рівня B2"",""summary"":""You started a clear work-English plan and built a highly usable system: mini-dictionaries and word lists for chats/meetings, phrase banks for clarification and small talk, and templates for emails (including follow-ups). You actively practiced output (writing two emails without a translator first, rehearsing meeting phrases aloud, recording yourself, and doing a mini meeting run-through), which directly targets confidence. A notable shift this week is that mistakes (articles, hesitations, rewriting) became feedback rather than a blocker, and you kept sessions lightweight when motivation was low—protecting continuity.""}],""tone"":{""word"":""Focused"",""scale"":5,""description"":""“Focused” fits because you repeatedly chose specific, actionable steps (a training plan; intervals; email templates; speaking out loud/recording) and followed through even when you felt tired or emotionally off. The week shows structured effort with a calm, practical mindset rather than all-or-nothing intensity.""},""what_worked"":[{""title"":""Minimum-viable consistency"",""description"":""On both running and English, doing a smaller “minimum” session on low-energy days helped you keep momentum without forcing heroics.""},{""title"":""Training variety with clear purpose"",""description"":""Mixing easy runs, intervals, and a longer run let you build endurance and confidence while also training mental toughness (e.g., keeping pace when you wanted to switch to walking).""},{""title"":""Listening to body signals early"",""description"":""Noticing knee discomfort and intentionally reducing load supported sustainable progress and reinforced trust in your body-awareness.""},{""title"":""Work-context vocabulary + templates"",""description"":""Collecting phrases you actually see in chats/meetings and turning them into email blocks (follow-ups, polite replies) made English immediately more usable and less stressful.""}]}"
18_week_2025-05-05,baseline_rag,18,2025-05-05,week,,,,,,,5,,,12271,17.328474521636963,"{""title"":""Weekly Report 05.05 – 11.05 (May 2025)"",""summary"":""This week had a clear theme of building reliable routines: you kept moving forward in half-marathon training, made English practice highly practical for work, and strengthened an evening setup that supports steadier sleep. Across all three goals, you leaned into “showing up” with flexible intensity—doing the plan honestly, adjusting when needed, and still keeping your rhythm."",""goals"":[{""goal_id"":39,""name"":""Півмарафон без зупинок"",""summary"":""You started (and reinforced) a structured half-marathon preparation rhythm with multiple runs, including easy efforts, a 4 km run where you noticed a steadier pace, and interval work that trained both endurance and mindset. Several wins stood out: you kept running without stopping even when your legs felt heavy, and you noticed tangible aerobic progress (more even breathing on familiar distances). You also made smart, athlete-like decisions—listening to a knee discomfort signal and reducing load—while still staying consistent with the plan.""},{""goal_id"":40,""name"":""Англійська для роботи до рівня B2"",""summary"":""You made your English practice directly job-shaped: building mini-dictionaries from work chats, collecting meeting/email phrases, and creating reusable templates (follow-ups, polite replies, clarification questions). You pushed into real production—writing short work emails without a translator first, recording yourself for pronunciation, and doing mini “meeting run-throughs,” which helped you spot where you lose the thread or over-explain. A key win was confidence under realism: you identified recurring weak points (articles/prepositions, grammar gaps) and used them as a map, while also getting small proof moments like understanding more in listening when you stop translating word-for-word.""},{""goal_id"":41,""name"":""Стабільний сон і режим"",""summary"":""You actively built an evening system instead of relying on willpower: reminders for a ~23:00 bedtime, keeping the phone out of bed, and a wind-down ritual (dim light, shower, water, a short book session). You also experimented and learned your personal levers—no late coffee, preparing clothes/to-do lists in advance to reduce anxiety, and short walks after dinner to release tension. The biggest progress this week was awareness + adjustment: when work thoughts, messages, or screens pulled you off course, you used practical resets (writing tasks down, choosing quiet time, setting a “after 22:00 only calm activities” rule) that made sleep feel more manageable and restorative.""}],""tone"":{""word"":""Steady"",""scale"":5,""description"":""Your entries show consistent forward motion across fitness, language, and sleep, with a calm focus on process over perfection. You kept your routines alive through different energy levels, and you made thoughtful adjustments (recovery, lighter sessions, simpler practice) without losing direction.""},""what_worked"":[{""title"":""Doing the minimum to protect the rhythm"",""description"":""On low-energy days you still kept contact with the habit—short easy runs, 10–15 minutes of review, or a simpler wind-down—so the routine stayed intact without extra pressure.""},{""title"":""Practical, work-anchored English building blocks"",""description"":""Templates and phrase lists (clarifying, follow-ups, polite tone) reduced friction and made progress immediately usable in real emails/meetings.""},{""title"":""Self-recording and speaking run-throughs"",""description"":""Recording yourself and rehearsing mini-updates helped you move from “knowing” to “saying,” while noticing exactly where you pause or lose structure.""},{""title"":""Evening preparation to reduce anxiety"",""description"":""Preparing clothes/to-do lists and writing tomorrow’s tasks down helped quiet mental looping and made falling asleep easier.""}]}"
18_week_2025-05-12,baseline_rag,18,2025-05-12,week,,,,,,,5,,,12237,15.360713720321655,"{""title"":""Weekly Report 12.05 – 18.05"",""summary"":""This week feels strongly about building rhythm: you kept moving forward in running, English, and sleep through small, repeatable actions. A clear theme across all three goals was choosing consistency over “perfect conditions” — doing the minimum when needed, adjusting when your body/mind asked for it, and still staying connected to the plan. Overall, you combined discipline with self-kindness in a very practical way."",""goals"":[{""goal_id"":39,""name"":""Півмарафон без зупинок"",""summary"":""You continued to build endurance through steady, no-stop runs (including 3–4 km sessions and longer efforts), and you also added variety with interval work. A big win is how often you held your pace without switching to walking even when legs felt heavy or motivation was low — you repeatedly chose “just do it calmly” over heroics. You also showed smart self-management by listening to your body (e.g., easing off when you noticed knee discomfort) and noticing tangible progress like more even breathing and a steadier rhythm.""},{""goal_id"":40,""name"":""Англійська для роботи до рівня B2"",""summary"":""You made your English practice highly job-relevant: building mini-dictionaries, creating email templates and follow-up scripts, and drilling meeting phrases for clarifying, confirming, and polite requests. Several concrete confidence markers showed up — writing short work emails without a translator (checking after), recording yourself to reduce speaking shame, and even using a live phrase on a meeting (“Let me rephrase that”) without panic. You also started turning mistakes into a system by tracking repeat issues (articles/prepositions) and rewriting drafts to make your tone clearer and more professional.""},{""goal_id"":41,""name"":""Стабільний сон і режим"",""summary"":""You actively tested what stabilizes your sleep: limiting late caffeine, setting a 23:00 bedtime reminder, keeping the phone out of bed, and shifting into calmer post-22:00 activities. Your evening routines became more intentional and effective (warm shower, short walk, dimmer light, 10 minutes of reading), and you used simple “mind offloading” tools like writing tomorrow’s tasks or a quick plan to stop mental looping. A key win is your growing awareness of patterns — you clearly saw how screens, late heavy dinners, and late work/notifications affect sleep and mood, and you began responding with specific boundaries.""}],""tone"":{""word"":""Steady"",""scale"":5,""description"":""You kept showing up across all three goals with practical, repeatable actions, even on days with low energy or heavier emotions. The week reads like stable momentum: adjust the load, do a minimum, and keep the rhythm going.""},""what_worked"":[{""title"":""Consistency over mood"",""description"":""On both runs and English, you leaned on “do it anyway, even small” (a short run, 10–15 minutes of review), which helped you keep momentum without relying on motivation.""},{""title"":""Plan-based practice with real-life relevance"",""description"":""English improved fastest when you studied phrases you could immediately use in meetings and emails (clarify/confirm, follow-ups, polite tone), making the effort feel meaningful and doable.""},{""title"":""Self-recording and rehearsal"",""description"":""Recording yourself and doing mini-meeting run-throughs helped speaking feel less scary and made progress visible (fewer pauses, more natural delivery).""},{""title"":""Listening to body signals and adjusting load"",""description"":""Noticing knee discomfort and choosing to reduce intensity protected continuity and reinforced a healthier long-term training mindset.""}]}"
